title,price_gbp
A Light in the Attic,51.77
Tipping the Velvet,53.74
Soumission,50.1
Sapiens: A Brief History of Humankind,54.23
The Black Maria,52.15
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25
Libertarianism for Beginners,51.33
Birdsong: A Story in Pictures,54.64
Aladdin and His Wonderful Lamp,53.13
Behind Closed Doors,52.22
Slow States of Collapse: Poems,57.31
"We Love You, Charlie Freeman",50.27
The Secret of Dreadwillow Carse,56.13
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41
The Past Never Ends,56.5
The Murder That Never Was (Forensic Instincts #5),54.11
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06
The Death of Humanity: and the Case for Life,58.11
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4
Masks and Shadows,56.4
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9
