title,price_gbp
The Requiem Red,22.65
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6
Shakespeare's Sonnets,20.66
Olio,23.88
Chase Me (Paris Nights #2),25.27
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5
The Elephant Tree,23.82
Reasons to Stay Alive,26.41
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02
In the Country We Love: My Family Divided,22.0
