title,category_name,rating,price_gbp
Sapiens: A Brief History of Humankind,History,5,54.23
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,5,52.29
"We Love You, Charlie Freeman",Fiction,5,50.27
Private Paris (Private #10),Fiction,5,47.61
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,5,40.3
Join,Science Fiction,5,35.67
Rip it Up and Start Again,Music,5,35.02
Black Dust,Romance,5,34.53
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,5,32.24
Chase Me (Paris Nights #2),Romance,5,25.27
